school,municipality,lon,lat,unique_id
Vincent Massey Secondary School,Windsor,-83.0280994,42.2599344,Vincent Massey Secondary SchoolWindsor
Christ the King Catholic Elementary School,Windsor,-83.0252701,42.2698062,Christ the King Catholic Elementary SchoolWindsor
Christ the King Separate School,Windsor,-83.0252591,42.2694273,Christ the King Separate SchoolWindsor
Frank W. Begley Public School,Windsor,-83.0221474,42.3209119,Frank W. Begley Public SchoolWindsor
Frank W Begley Public School,Windsor,-83.0221474,42.3209119,Frank W Begley Public SchoolWindsor
Holy Cross Catholic Elementary School,Lasalle,-83.022055,42.235847,Holy Cross Catholic Elementary SchoolLasalle
St Gabriel Catholic School,Windsor,-83.0209898,42.2569726,St Gabriel Catholic SchoolWindsor
Hon. W. C. Kennedy Collegiate Institute,Windsor,-83.0208807,42.2958592,Hon. W. C. Kennedy Collegiate InstituteWindsor
Hon W C Kennedy Collegiate Institute,Windsor,-83.0208807,42.2958592,Hon W C Kennedy Collegiate InstituteWindsor
Giles Campus French Immersion Public School,Windsor,-83.0200538,42.3108007,Giles Campus French Immersion Public SchoolWindsor
École secondaire catholique E.J.Lajeunesse,Windsor,-83.0199432,42.2770652,École secondaire catholique E.J.LajeunesseWindsor
Ã‰cole secondaire catholique E.J.Lajeunesse,Windsor,-83.0199432,42.2770652,Ã‰cole secondaire catholique E.J.LajeunesseWindsor
École élémentaire catholique E.J. Lajeunesse,Windsor,-83.0199432,42.2770652,École élémentaire catholique E.J. LajeunesseWindsor
Catholic Central,Windsor,-83.0183257,42.29705,Catholic CentralWindsor
Southwood Public School,Windsor,-83.01828,42.253798,Southwood Public SchoolWindsor
Central Public School,Windsor,-83.017779,42.2676118,Central Public SchoolWindsor
St Angela Catholic School,Windsor,-83.0175813,42.3060125,St Angela Catholic SchoolWindsor
Prince Edward Public School,Windsor,-83.0174755,42.3101027,Prince Edward Public SchoolWindsor
King Edward Public School,Windsor,-83.0129152,42.319681,King Edward Public SchoolWindsor
Our Lady of Mount Carmel Catholic School,Windsor,-83.011506,42.243208,Our Lady of Mount Carmel Catholic SchoolWindsor
École élémentaire L'Envolée,Windsor,-83.0070443,42.311347,École élémentaire L'EnvoléeWindsor
Walkerville Collegiate Institute,Windsor,-83.006966,42.317697,Walkerville Collegiate InstituteWindsor
St. Anne French Immersion Catholic Elementary School,Windsor,-83.004919,42.316584,St. Anne French Immersion Catholic Elementary SchoolWindsor
St Anne French Immersion Catholic School,Windsor,-83.004919,42.316584,St Anne French Immersion Catholic SchoolWindsor
St Christopher Catholic School,Windsor,-82.993148,42.280368,St Christopher Catholic SchoolWindsor
Roseland Public School,Windsor,-82.9928611,42.2597792,Roseland Public SchoolWindsor
J A McWilliam Public School,Windsor,-82.9861491,42.2813665,J A McWilliam Public SchoolWindsor
St Teresa of CalcuttaCatholic School,Windsor,-82.9854219,42.3051826,St Teresa of CalcuttaCatholic SchoolWindsor
Ford City Public School,Windsor,-82.9758217,42.3104362,Ford City Public SchoolWindsor
David Maxwell Public School,Windsor,-82.9757237,42.3147771,David Maxwell Public SchoolWindsor
F J Brennan Catholic High School,Windsor,-82.975601,42.324782,F J Brennan Catholic High SchoolWindsor
Corpus Christi Catholic Middle School,Windsor,-82.975188,42.3247479,Corpus Christi Catholic Middle SchoolWindsor
W. F. Herman Academy Secondary School,Windsor,-82.9746151,42.3080738,W. F. Herman Academy Secondary SchoolWindsor
Talbot Trail Elementary School,Windsor,-82.9733198,42.2520582,Talbot Trail Elementary SchoolWindsor
Talbot Trail Public School,Windsor,-82.9733198,42.2520582,Talbot Trail Public SchoolWindsor
École élémentaire catholique Sainte-Ursule,Essex,-82.968119,42.1447317,École élémentaire catholique Sainte-UrsuleEssex
Coronation Public School,Windsor,-82.9621047,42.3136253,Coronation Public SchoolWindsor
